commentaire,rating,date,platform
best app,5,2026-01-21 14:45:29,Google Play
good to use,5,2026-01-21 14:44:55,Google Play
Why you suspended my acc 😂,1,2026-01-21 14:40:18,Google Play
it's very good and siquar aap and easy to use thank's,5,2026-01-21 14:39:37,Google Play
great,5,2026-01-21 14:39:32,Google Play
sad,5,2026-01-21 14:38:01,Google Play
nice,5,2026-01-21 14:37:48,Google Play
to text my friend's,5,2026-01-21 14:37:31,Google Play
great,5,2026-01-21 14:36:41,Google Play
Bad,1,2026-01-21 14:35:52,Google Play
good,5,2026-01-21 14:35:12,Google Play
correct,5,2026-01-21 14:35:01,Google Play
well done 👍,5,2026-01-21 14:33:06,Google Play
nice 👍,5,2026-01-21 14:32:57,Google Play
ভালো,5,2026-01-21 14:32:49,Google Play
5 star because i like 5 star,5,2026-01-21 14:32:44,Google Play
yeah app is so good without ads,4,2026-01-21 14:32:35,Google Play
osmm,4,2026-01-21 14:32:29,Google Play
nice,5,2026-01-21 14:31:39,Google Play
fecebook nice app,5,2026-01-21 14:30:51,Google Play
App keeps removing itself from my phonen,1,2026-01-21 14:30:04,Google Play
Perfect version for content publishing,5,2026-01-21 14:28:36,Google Play
bout achi ha,5,2026-01-21 14:28:09,Google Play
facebook nyo bulok.,1,2026-01-21 14:25:09,Google Play
🥰,5,2026-01-21 14:25:08,Google Play
प्रेम,5,2026-01-21 14:23:41,Google Play
best,4,2026-01-21 14:22:20,Google Play
why update,1,2026-01-21 14:22:01,Google Play
bahut badiha,2,2026-01-21 14:21:47,Google Play
why is the porn in this app,1,2026-01-21 14:21:44,Google Play
super,5,2026-01-21 14:21:26,Google Play
Good 👍,4,2026-01-21 14:21:18,Google Play
i think now a days ads are more shown in Facebook . before ads were not shown in Facebook,1,2026-01-21 14:19:25,Google Play
Amazing,5,2026-01-21 14:17:25,Google Play
notifications hardly work. The match thing is broken. It filters opinions not just abuse. it's censorships greatest friend,1,2026-01-21 14:15:27,Google Play
This page isn't available right now problem please fix it as soon as possible thanks,2,2026-01-21 14:13:57,Google Play
so nice,5,2026-01-21 14:13:54,Google Play
very satisfied,5,2026-01-21 14:13:36,Google Play
Bast app,5,2026-01-21 14:11:38,Google Play
best,5,2026-01-21 14:10:20,Google Play
good app,5,2026-01-21 14:08:45,Google Play
Nice app,5,2026-01-21 14:08:15,Google Play
good 👍😊,5,2026-01-21 14:07:38,Google Play
best social media app,5,2026-01-21 14:06:09,Google Play
super,4,2026-01-21 14:06:07,Google Play
nice,2,2026-01-21 14:05:56,Google Play
improve your service,2,2026-01-21 14:05:01,Google Play
Nice to see you,5,2026-01-21 14:04:59,Google Play
the latest version is third class version looking like Instagram awful and also the video which we have save couldn't play 😞▶️.,1,2026-01-21 14:04:38,Google Play
post ke liya,5,2026-01-21 14:04:24,Google Play
"Hello Facebook Team, I am Camille Castro, and my Facebook account was recently suspended. I am not aware of the specific reason for the suspension. I have always tried my best to follow Facebook’s Community Standards, and if I unknowingly violated any rule, please know that it was unintentional. I sincerely apologize for any misunderstanding or mistake. This is my personal account, which I use to communicate with my family and friends and for academic purposes.",2,2026-01-21 14:02:47,Google Play
nice,5,2026-01-21 14:02:44,Google Play
good,4,2026-01-21 14:02:19,Google Play
my app refuses to open,3,2026-01-21 14:02:16,Google Play
awesome,5,2026-01-21 14:01:53,Google Play
godd,5,2026-01-21 14:01:11,Google Play
good,5,2026-01-21 13:58:20,Google Play
very good,5,2026-01-21 13:57:24,Google Play
V good short reels,5,2026-01-21 13:57:23,Google Play
daily helpful,4,2026-01-21 13:56:43,Google Play
good apps,5,2026-01-21 13:56:30,Google Play
"I'd like to suggest that with the new Facebook profile interface, some people find the ""Friends with things in common"" feature unnecessary or even annoying. Therefore, I hope you can add a ""hidden"" option for this feature.",4,2026-01-21 13:55:09,Google Play
💗,5,2026-01-21 13:54:31,Google Play
soo 👍,5,2026-01-21 13:52:39,Google Play
nice one,5,2026-01-21 13:51:29,Google Play
thanks u,5,2026-01-21 13:51:17,Google Play
always fine,4,2026-01-21 13:50:46,Google Play
Kuch nhi,5,2026-01-21 13:50:32,Google Play
good nice,5,2026-01-21 13:50:19,Google Play
good,5,2026-01-21 13:49:31,Google Play
Facebook Reels glitching.,4,2026-01-21 13:49:18,Google Play
nice,5,2026-01-21 13:48:54,Google Play
Facebook can thept your personal data without your information and highlight on other aaplication i recomendent dont download this aap,1,2026-01-21 13:48:34,Google Play
ok,5,2026-01-21 13:48:04,Google Play
so good 🥰🥰🥰🥰🥰🥰🥰🥰🥰,4,2026-01-21 13:47:27,Google Play
Very Good App,5,2026-01-21 13:46:50,Google Play
very nice app,5,2026-01-21 13:46:27,Google Play
good,5,2026-01-21 13:46:25,Google Play
love you Jaan 👀❤️,4,2026-01-21 13:46:00,Google Play
Nice,5,2026-01-21 13:46:00,Google Play
love it ❣️ fasbook,5,2026-01-21 13:45:39,Google Play
best movies app,5,2026-01-21 13:43:58,Google Play
আমার জীবনের একটা বড় অংশ হিসেবে মনে করি।,5,2026-01-21 13:43:46,Google Play
"congratulations,,, 👏👏👏🫰👍❣️keep it up girl!!",5,2026-01-21 13:42:29,Google Play
nice,5,2026-01-21 13:42:21,Google Play
good,5,2026-01-21 13:42:19,Google Play
Nice,5,2026-01-21 13:42:08,Google Play
extraordinary,5,2026-01-21 13:41:57,Google Play
good,5,2026-01-21 13:40:36,Google Play
the new updated home page sucks. gives out too much info I want private that can't be hidden.,1,2026-01-21 13:39:08,Google Play
good,5,2026-01-21 13:38:37,Google Play
"I don't want to see Messenger in my facebook again, please delete it in my facebook.",4,2026-01-21 13:38:30,Google Play
good 👍,5,2026-01-21 13:38:02,Google Play
Thank you,3,2026-01-21 13:37:48,Google Play
Stop blocking my facts in comments,1,2026-01-21 13:36:57,Google Play
so nice,2,2026-01-21 13:36:42,Google Play
kisi kisi ke sath aysa bhi 💓 hai,5,2026-01-21 13:36:38,Google Play
nice,5,2026-01-21 13:36:24,Google Play
Great platform.,5,2026-01-21 13:35:22,Google Play
"The ads are getting worse and my feed is still 99% ""recommended"" or ""sponsored"" content. I'll be using a hacked version of the app to get around that.",1,2026-01-21 13:34:27,Google Play
"Facebook best gile sebab boleh fill up my day , and tak bosan bila guna . and banyak benefits untuk kita cari news , or something yang kita nak tengok . and stay updated sebab banyak informations dalam facebook . sukaaa !!",5,2026-01-21 13:33:33,Google Play
good,3,2026-01-21 13:33:27,Google Play
"Why do you all always redesign the app? Leave it alone! Whomever made the most recent change, changed the UI for no good reason.",3,2026-01-21 13:33:25,Google Play
Nice,5,2026-01-21 13:30:51,Google Play
أفضل تطبيق على الإطلاق,5,2026-01-20T04:59:20-07:00,App Store
Annoying ads pop up under every post. 👎,3,2026-01-20T04:54:55-07:00,App Store
1,1,2026-01-20T04:54:51-07:00,App Store
😍😍,1,2026-01-20T04:39:13-07:00,App Store
"Under the Trump Administration, especially after the induction of CIA into Meta (was nationally televised, btw. Good luck finding the video evidence on washed internet searches), social media, especially that owned by Meta, took a nose-dive.

Recently however, I’ve seen some comforting changes.

We’ll see what happens.

No one knows who to trust anymore…

Too many individuals and large corporations have been severely compromised due to strong-arm tactics, blackmail, coercion, threats of violence and financial ruin etc.

Actions speak louder than words

🙏🫶",4,2026-01-20T04:31:38-07:00,App Store
Doesn’t load full pages Kees saying “try again”….,1,2026-01-20T04:06:45-07:00,App Store
Should be called Porn Book at this point how nasty this app is tf,1,2026-01-20T03:20:50-07:00,App Store
"Only idiotic bots that make decision based on who knows what just proving that either creator is idiot or his prigrammers who do work for a jew by blood but hamas person by mind! This persona is afraid of people and has no customer service no wonder there are so many law suits. Whichbis why im starting one too. F/""z""uckerberger obviously does NOT know what manners are too bad senate did not shut dow this appa or their will of narcissism which is why more and more law suits popping up: zucker is the reason hears aomethingnof himanity & skills? I doubt. My family survived hitler and romans while yours fled as cowards",1,2026-01-20T02:34:40-07:00,App Store
Looking for a new options.privacy and someone who isn’t as abusive to society as Zuckerberg,1,2026-01-20T02:30:04-07:00,App Store
Great app,5,2026-01-20T01:56:48-07:00,App Store
Super se uper,5,2026-01-20T01:52:54-07:00,App Store
facebook is no fun when u can’t see shares it’s the best part,2,2026-01-20T01:28:33-07:00,App Store
P-Trees “Bleed🩸” streaming on all streaming platforms,5,2026-01-20T01:25:28-07:00,App Store
Highly recommend,5,2026-01-20T01:17:24-07:00,App Store
Ok,5,2026-01-20T00:43:00-07:00,App Store
Helps me stay in touch with friends and associates!,5,2026-01-20T00:17:11-07:00,App Store
One of the greatest people I’ve had the privilege to interact with and get to know. What a great human!! Brian is awesome!!,5,2026-01-19T23:58:54-07:00,App Store
They keep banning my accounts I’m tired,2,2026-01-19T23:51:41-07:00,App Store
I’m starting to feel like my posts are not being shared or even shown on my friends feeds,1,2026-01-19T22:31:23-07:00,App Store
Amazing just learning more on monetizing & building my professional dashboard on the way to earning money,5,2026-01-19T22:27:35-07:00,App Store
"I’ve been blogging on facebook for some time now, also appreciate the time, and effort your team put into this app thanks!",5,2026-01-19T22:03:36-07:00,App Store
The Stories at the top of the timeline are not optional and routinely push sexualized content without consent. This type of forced exposure is invasive and feels violating to many users.,1,2026-01-19T22:00:54-07:00,App Store
mark is a rapist,1,2026-01-19T21:30:17-07:00,App Store
"Way too many ads, follows, and joins in my feed to even enjoy FB anymore.  Just garbage.",1,2026-01-19T21:27:48-07:00,App Store
Got a brand new Apple 17 pro thought it would fix my Facebook issues but nope it still doesn’t work. They need to stop with their fake censoring and bites and put more money into their web development!,1,2026-01-19T21:12:09-07:00,App Store
"I’m a totally upset right now.  I scheduled a delivery for 8-10 pm.  My order wasn’t even started until 9:45.  I was then sent a text it would be delivered before 11:00 pm, then sent a text saying it would be 11:10.  It’s now 11:50 and nothing!  At least give me the option to change the delivery!! I get up at 4:30 am and you are 100% disrupting me, if I had the time to change the time, I would have waited a day.  I pay for the free delivery through your subscription and you expect me to pay extra to get it delivered during a certain time.  Do I get a discount when you can’t deliver during the scheduled time?  I will send you the bill!",1,2026-01-19T20:54:42-07:00,App Store
When you delete the app you will still get the email from facebook,3,2026-01-19T20:26:15-07:00,App Store
Very poor customer service care for a old time user no help yet even after my id verification,1,2026-01-19T20:07:36-07:00,App Store
Me encanta Facebook por sus comunicaciones y es una aplicación completa,5,2026-01-19T20:06:32-07:00,App Store
Facebook app is either horribly broken or still engaging in algorithmic abuse.,1,2026-01-19T19:57:19-07:00,App Store
5stars to facebook. TikTok is petty and fake . It has way to much spam profiles,4,2026-01-19T19:52:17-07:00,App Store
Tells me change my password but still won’t delete my account.,1,2026-01-19T19:49:51-07:00,App Store
Y’all suck,1,2026-01-19T19:43:14-07:00,App Store
Best family friendly place 👍,5,2026-01-19T19:29:59-07:00,App Store
"Still can’t notify Facebook about my account being  hacked from a year and recovery is a flawed 
system.",1,2026-01-19T18:35:37-07:00,App Store
I like a good debate as much as the next person but it’s all Facebook is geared towards. They actively pedal bullying and harassment as well as pornographic materials (usually in the form of AI apps) yet they have arbitrary and bizarre community guidelines with no accountability.,1,2026-01-19T18:29:52-07:00,App Store
You are responsible for polarizing us.,1,2026-01-19T18:29:50-07:00,App Store
"They don’t care about bots being on their app or not, as long as the money keeps flowing.",1,2026-01-19T18:24:56-07:00,App Store
I have reported numerous inappropriate posts and Facebook looks the other way every time.,1,2026-01-19T18:20:28-07:00,App Store
"App filled with AI, mostly all boomers and then marketplace closes down for minors??? Some people are here to sell and buy things, meetup with people that are close by not watch fake dumb AI videos old people fall for. This annoying thing now made me lose my contacts with the people I was gonna buy from. How come other apps allow you to meetup with people and buy from them or sell? I’m a teen with a car able to meetup with people to make transactions. Thanks Facebook and your stupid crew for screwing up one of the best parts of your app.",1,2026-01-19T17:58:12-07:00,App Store
I have gotten both of my accounts hacked within a month a part . They changed my email my password and everything there no way for me to get back into them . This is horribly hurtful. Please get my account’s backed one is disabled I have no idea why . This needs to be solved. I can’t even make a new account none of my emails or my number is not connected to an account. Please fix this,1,2026-01-19T17:57:33-07:00,App Store
Radmacher,5,2026-01-19T17:51:45-07:00,App Store
Five star times infinity,5,2026-01-19T17:39:30-07:00,App Store
I still can’t access the marketplace.,4,2026-01-19T17:24:17-07:00,App Store
Michellepittard missed,4,2026-01-19T17:20:25-07:00,App Store
I myself love the new features however it’s too busy and many clicks to change a password or deactivate an account. A learning curve for some folks. If they can have a simple way of setting things like back in the days: FB experience would be a whole of a lot better for everyone.,5,2026-01-19T17:13:24-07:00,App Store
Need to remove all of your scammers from advertising on Facebook,1,2026-01-19T17:07:40-07:00,App Store
Too many ads or suggestions,1,2026-01-19T16:57:14-07:00,App Store
"We see you. 
Facebook has become a 24/7 propaganda machine",1,2026-01-19T16:31:13-07:00,App Store
"The site is really broken hide reacts isn’t working. when you stop following someone it doesn’t remove them from your page, when you click on who you follow select person it says follow so I’m not but still in my list.",1,2026-01-19T15:49:22-07:00,App Store
"The app is great but the dating feature is malfunctioning, it’s not loading properly, can you please push an update for it. Thanks.",5,2026-01-19T15:49:19-07:00,App Store
all i want it to peacefully go on facebook market place. my favorite place in the world. yet they want to confirm my age. i am over 18 but there is NO WAY i am giving my id to an app. it is outraging me. the fact that they can say facebook is a safe place yet they wont allow me to peacefully scroll my marketplace is stupid. i’ve never done anything to make it seem like i am young yet they refuse TO LET ME BACK IN. it’s stupid and i will never forgive. please let me go back😔,1,2026-01-19T15:40:47-07:00,App Store
I love it,5,2026-01-19T15:28:19-07:00,App Store
"Facebook is destroying humanity. Unfortunately, we all have the government we deserve.",1,2026-01-19T15:26:40-07:00,App Store
Facebook continually restricts comments such that the post information cannot be read.  Aggravating!,1,2026-01-19T15:09:13-07:00,App Store
"If you do theyll make sure that no matter how much you aren’t interested/block creators that content will show up more and more in your feed, if that doesnt bother you then enjoy an app thats full to the brim with ai, rampant bigotry, and fake news articles",1,2026-01-19T14:53:57-07:00,App Store
Ok,3,2026-01-19T14:52:46-07:00,App Store
Because of you I could afford a lawyer to fight for my son who was being abused by his moms boyfriend. I am forever in debt to Facebook.,5,2026-01-19T14:33:20-07:00,App Store
Not showing my friends showing too much ads ..,1,2026-01-19T14:29:00-07:00,App Store
"2-3 years ago my account was stolen by hackers, I’ve tried for years to report this to facebook but all I ever get is an automated message saying that that account hasn’t broken any “community standards”!!! Where’s the security of accounts!?",1,2026-01-19T14:22:20-07:00,App Store
🚨Put the share views back🚨,1,2026-01-19T14:00:37-07:00,App Store
Xmas Helpers,5,2026-01-19T13:55:29-07:00,App Store
Check in disappeared from “What’s On Your Mind”.  What’s up with that???  Bring it back please!,3,2026-01-19T13:52:24-07:00,App Store
"I only use the app for marketplace, and whoever maintains that interface for iPad needs talkin to lol",1,2026-01-19T13:46:15-07:00,App Store
5,5,2026-01-19T13:44:18-07:00,App Store
The title says it all,2,2026-01-19T13:15:57-07:00,App Store
NAACP,5,2026-01-19T13:14:40-07:00,App Store
"Not enough posts for friends ,to many advertisements",2,2026-01-19T13:05:33-07:00,App Store
I really enjoy using Facebook marketplace it’s easy to use. This is a great platform to connect with people about services and items.,5,2026-01-19T12:11:11-07:00,App Store
"After hurricane Katrina in 2005, Facebook served as a source to help locate friends and family. It’s hard weeding out all the garbage! Only growing NEW “Happy Roots”. It takes a village!",5,2026-01-19T12:03:14-07:00,App Store
Profile,1,2026-01-19T11:47:47-07:00,App Store
Nice,5,2026-01-19T11:42:23-07:00,App Store
Always ending this App because it gives me all the informations I want.,5,2026-01-19T11:29:18-07:00,App Store
"3rd best. TikTok, IG, Fcbk",5,2026-01-19T11:27:09-07:00,App Store
OUR THIRD FAMILY REUNION FOR A DOZEN TWELVE SIBLINGS & SPOUSES,5,2026-01-19T11:19:46-07:00,App Store
"It imports data from microphones, cameras, browsers, gps’s without permissions and then blasts outdated posts and marketing data back at us!",1,2026-01-19T11:18:55-07:00,App Store
Great for roofers who want to work,5,2026-01-19T11:18:16-07:00,App Store
I enjoy this app a great way to learn new things,5,2026-01-19T11:18:07-07:00,App Store
"➖🟩🟩🟩
➖🟩🟩⬛
➖🟩🟩🟩
➖➖🟦➖⬜⬜
➖➖🟦🟩⬜⬛
➖➖🟦➖⬜⬜🟧
⬜⬜⬜🟦⬜⬜🟥
⬜⬜⬜⬜⬜
⬜⬜⬜⬜⬜
➖➖🟨
➖➖🟨🟨
@Facemojikeyboard",5,2026-01-19T11:17:29-07:00,App Store
Facebook as a part of my life use it every day. Amazing how it works helps in many different ways keeps me occupied and I learned new things connect with old friends. I haven’t talked to you in a long time.,5,2026-01-19T11:11:51-07:00,App Store
Te amo,1,2026-01-19T11:09:11-07:00,App Store
"I got banned from using FB Marketplace when I tried to report a glitch in their system.  It’s been almost a year, and I’ve sent over a dozen messages pleading them to find a HUMAN to review what actually happened yet they are solely relying on their ‘technology’ to make these wrong decisions.  So, I rarely go on FB anymore and when I do, it’s not for long before I sign out and not revisit for weeks sometimes months.",1,2026-01-19T11:03:58-07:00,App Store
Courage,1,2026-01-19T10:32:59-07:00,App Store
There is no faith or justice applying on this site,1,2026-01-19T09:52:30-07:00,App Store
"So, I am retired and live in a community with a lot of like-minded ppl. Also a very active music scene. FB is an effective and positive connecting place for my community of friends, colleagues, and events.  For the limited scope of my needs and usage I can give it “5”.  Beyond that:  I DESPISE the AI generated stupidity questions that purport to poll options but create inane competition and division, especially in my communities. Just, no.  For that (growing) phenomenon, not even one star.",5,2026-01-19T09:51:24-07:00,App Store
Facebook used to translate my Thai friends and family posts for me. Now they don’t.  Why did they do away with this? I,1,2026-01-19T09:39:50-07:00,App Store
Su primera nevada,5,2026-01-19T09:38:22-07:00,App Store
"Let Us All Do It, Beat The Bad Guys!",5,2026-01-19T09:05:26-07:00,App Store
They are so loving and caring here! ❤️❤️❤️,5,2026-01-19T08:45:09-07:00,App Store
Comments are moved to the bottom of the screen where you can’t see what you’re imputing,1,2026-01-19T08:45:01-07:00,App Store
"Starting a Facebook creator page has been so easy, so informative and so much fun over the past few months!  Let’s keep going 🚀🚀🚀",5,2026-01-19T08:42:03-07:00,App Store
"Miracles are always coming every single day weeks months years,",5,2026-01-19T08:22:40-07:00,App Store
Due to restrictions on my account I can’t access certain apps it’s been over a year and they ban me for life I guess fb I want Facebook dating add love icon one,1,2026-01-19T08:18:33-07:00,App Store
Having to exit and re load when wanting to read comments since update.  Hope it self resolves. Jan 19 2026,3,2026-01-19T08:07:18-07:00,App Store
"During my visit to Ho Chi Minh City, Vietnam, I experienced a severe toothache and decided to seek treatment at Nha Khoa An. I was seen by Dr. Linh, who promptly and accurately diagnosed the cause of my pain.

Dr. Linh took excellent care of my toothache and ensured I was comfortable throughout the entire process. She was extremely thorough, highly professional, and very knowledgeable. She clearly explained the issue and the treatment plan, which gave me confidence that I was in capable hands.

Thanks to Dr. Linh’s expertise and attention to detail, my toothache was effectively treated. I am very pleased with the care I received and the overall experience at Nha Khoa An.

I would highly recommend Dr. Linh to anyone experiencing dental issues who wants their treatment done correctly, professionally, and with great care.",5,2026-01-19T08:01:19-07:00,App Store
"Get rid of the automatic ""Is this available?"" in Marketplace!!! Very annoying for the seller.",1,2026-01-19T07:42:24-07:00,App Store
You guys are liberal hacks,1,2026-01-19T07:40:16-07:00,App Store
"Unfortunately, Facebook has become a medium to transmit hatred, lies, and made up stories. This is in the fortunate because I have enjoyed staying in touch with people over all these years. I don’t know how you would Police this any better, but I no longer wish to be a part of this platform. Somehow we have to do better.",1,2026-01-19T07:33:13-07:00,App Store
It is great to have a good platform to talk to friends and the world🙏🙏🙏🙏🇺🇸🇦🇷😎,5,2026-01-19T07:19:49-07:00,App Store
"I don’t appreciate you let pornographers post pictures!! Young people is on FB and 
Is very inappropriate 
To let that happens I don’t understand, very disrespectful for families.",1,2026-01-19T07:14:03-07:00,App Store
The guidelines too,3,2026-01-19T07:13:16-07:00,App Store
What is my one review going to do or change anything about this platform or anything else in the world?,5,2026-01-19T07:08:12-07:00,App Store
"This idiot who owns Meta sensors his media through AI and algorithms. Media is not free, it is controlled. So disgusting.",1,2026-01-19T07:07:28-07:00,App Store
Rely on it so much,5,2026-01-19T07:06:20-07:00,App Store
I have gotten a lot of useful information since I became a member. I just wish FaceBook will do better using AI weeding out fake posts.,4,2026-01-19T06:57:04-07:00,App Store
"I’ve had my page for a long time with no issues but recently it’s been glitching every time I try to get on my dating profile. Deleting the app or restarting the phone does not help it either

1/19/26- the issue was fixed after my initial review which was great but now the same issue is happening again but now it’s not showing me anyone at all. I can only see who liked me and my messages, nothing else.",2,2026-01-19T06:51:44-07:00,App Store
I love going back looking at old pictures of my kids and watching them grow up to Facebook. It’s amazing !!!,5,2026-01-19T06:45:48-07:00,App Store
10000%,5,2026-01-19T06:37:03-07:00,App Store
"Frustrating getting old feeds on my page. Doesn’t matter what you change or block in your settings, it never works",2,2026-01-19T06:34:15-07:00,App Store
Only way to find out what going on!,5,2026-01-19T06:31:12-07:00,App Store
"Nothing but pushed content and adds

Nothing like it used to be",1,2026-01-19T06:27:41-07:00,App Store
I’m the only man alive who with History an The Bible The word of God can probe The day of the crucifixion of Jesus on Friday April 27 31 ACE an That we Since April 27 1991 are living on the last Generation of the 6ix Millennium and that on the 2000 anniversary of Jesus death it will also be the 6000 year since the Fall of Adam an Eve an That the lastt 7 years of the 6 millennium begun on Sabbath Day April 27 2024 an that we only have 5 years 3 months an 8 days for the end of the 6ix millennium an Of me coming out on that day to Announce to The World this Timeline,5,2026-01-19T06:12:48-07:00,App Store
"This new Update keeps Freezing on my Apple phone… can you please fix this?!? 
Thanks!",1,2026-01-19T06:07:39-07:00,App Store
Awesome and free,5,2026-01-19T06:06:47-07:00,App Store
"When I'm listening to music from another app, the audio stops when I open Facebook everytime. Please fix this.",1,2026-01-19T05:59:42-07:00,App Store
"I am currently in Korea and need a vehicle when I get back, however marketplace is unavailable for any reason. You cannot even change it to a location that is available. If possible I just want the only reason I even have Facebook back.",1,2026-01-19T05:58:50-07:00,App Store
This platform sucks,1,2026-01-19T05:52:02-07:00,App Store
Great app,5,2026-01-19T05:51:11-07:00,App Store
Tecnología,5,2026-01-19T05:20:38-07:00,App Store
They keep coming up with new ways to force advertising on users. Terrible,1,2026-01-19T05:17:59-07:00,App Store
Excellent,5,2026-01-19T05:11:35-07:00,App Store
"Over the past years, Facebook is creating issues. If his dinner was not the right temp, he threw it against the wall. 

I have tried to get my husband to enjoy the lights. He is not interested. He’s closest to the January infusion.",2,2026-01-19T05:08:08-07:00,App Store
Post my suicide notes in peace on this website,5,2026-01-19T04:54:18-07:00,App Store
Anyone,5,2026-01-19T04:25:35-07:00,App Store
Ice ice baby,1,2026-01-19T03:49:44-07:00,App Store
To many advertisers!!!,3,2026-01-19T03:16:41-07:00,App Store
I still can see who shares my post from hitting the share button,1,2026-01-19T03:15:56-07:00,App Store
"Dear Facebook,

I’m having trouble with the contact form for changing my name on Facebook. Specifically, I put my first name and last name, documents (ID and Social Security Number), and then I put my email address.

It says that “Facebook is going to send me an email shortly but, it didn’t!

Please fix this asap",3,2026-01-19T02:46:59-07:00,App Store
"As the title says it’s missing the search button for Facebook marketplace on iPad. On iPhones the button is present. Also dark mode seems to be glitchy. Took about 20 tries and a day before the app switched to dark mode. It’s weird cause I didn’t do anything differently after changing it in settings. I went through an entire process of uninstalling the app, turning off and on the iPad, clearing the ram, and closing the app. Both features are glitchy.",2,2026-01-19T02:36:23-07:00,App Store
Me encanta,5,2026-01-19T02:20:17-07:00,App Store
Thanks for the support. Lord knows I need it.,5,2026-01-19T02:17:45-07:00,App Store
Lame,1,2026-01-19T01:46:39-07:00,App Store
I have contacted my lost friends who have been there for me and have started working with them to help others with their needs in life so that we are able to heal together,5,2026-01-19T01:39:01-07:00,App Store
I can’t log back into my other old Facebook account I wanted. So I had to make a new Facebook account and this really sucks.,1,2026-01-19T00:44:45-07:00,App Store
Facebook has gotten a lot better.,5,2026-01-19T00:26:49-07:00,App Store
I love it,5,2026-01-19T00:19:58-07:00,App Store
Yall treat my platform so nice thank you,5,2026-01-19T00:16:19-07:00,App Store
Enough said,3,2026-01-18T22:27:50-07:00,App Store
I love it,5,2026-01-18T21:45:15-07:00,App Store
To many people rely on FB for their Social Media and the lay out just sucks!,1,2026-01-18T21:43:17-07:00,App Store
"My messages keep on blinking, as if they are deleting. They will blink and won’t allow me to click on them. Has been going on for weeks in Facebook marketplace messages",1,2026-01-18T21:40:13-07:00,App Store
La sangre de Cristo tiene poder amén,5,2026-01-18T21:35:41-07:00,App Store
If I could give this app a negative number I would. This app gets worse every single day I can’t believe I’m still on it. Are you all purposely going out of your way to make the user experience miserable? I see half a screen 50% of my time on the app. I can’t search my friends quickly and easily now. I can’t see shares. This app is so awful I WILL be deleting soon. It is the worse socials app for easy user experience and it’s not even close. And don’t get me started on the spam bots. It’s a totally filthy lifeless app now. Good work Facebook.,1,2026-01-18T21:27:41-07:00,App Store
I understand the whole protecting what teens see and I support that I really do however I believe it’s ridiculous that a 16 year old can not visit marketplace as that’s the only reason I got Facebook in the first place,2,2026-01-18T21:22:14-07:00,App Store
If not for the fact I can stay in touch with family and friends there is no way I would keep this app they are very controlling they do not allow Free speech they will block and ban you for the slightest words they don’t like or agree on and the record everything. I hate the damn phone calling on their messenger and rather than having to block individuals it should automatically block anyone that you do not specifically add yourself and it is drowning in damn ada,2,2026-01-18T21:13:51-07:00,App Store
Asking for update in App Store….does not exist,1,2026-01-18T21:05:04-07:00,App Store
Meta is a Mexican fraud don’t waste your money.,1,2026-01-18T20:36:40-07:00,App Store
Angi,5,2026-01-18T20:21:15-07:00,App Store
"I created a new Facebook page because I have been struggling with you guys recovering my old acct. You sent me verification codes and codes to unlock my account emails andemails and none of them work. I have sent ID verification, none of them work. Just like an endless nightmare.",3,2026-01-18T19:30:43-07:00,App Store
The only way you get a 3 year warranty. I learned the hard way. Order direct from Optima no one else.,5,2026-01-18T19:21:58-07:00,App Store
Glitchy - not working well,1,2026-01-18T19:06:50-07:00,App Store
Está redes me encanta aquí he conocidos a muchas personas,5,2026-01-18T19:04:05-07:00,App Store
Good but not for them,5,2026-01-18T18:52:00-07:00,App Store
"Like I said, it really depends on what you are utilizing Facebook for whether it’s family, friends, work, school chitchatting or other.

Facebook has its good points when utilized in a positive way.",4,2026-01-18T18:45:05-07:00,App Store
Can’t comment on posts or like or share.,1,2026-01-18T18:19:29-07:00,App Store
"Straightforward, professional, no drama. Got exactly what I expected and then some. That’s all I’m asking for in life, honestly.",5,2026-01-18T18:05:36-07:00,App Store
Five stars,5,2026-01-18T17:59:15-07:00,App Store
lst time doing this im over 70 I wanted to write something with photo didn’t know how,5,2026-01-18T17:58:48-07:00,App Store
It’s getting worse! Way too many ads and unasked for content.,1,2026-01-18T17:48:24-07:00,App Store
"The fact that if someone wants to delete a post they have to “send to a trash bin” and then search for hours trying to figure where the “Trash bin is” is complete trash. If I wanna delete a post it should just say delete post period that simple. Why does EVERYTHING need to be so difficult. It’s been like that for so long an I’ve dealt with it for so long, it’s absolutely RIDICULOUS. 

And the amount of notifications that Facebook sends me for all these groups is a whole other story. I don’t want notifications, nor do I feel like turning off my notifications for 15000 different things. 
I want notifications about birthdays, stuff I’m tagged in, or when someone responds to one of my comments. Nothing else. This apps just become ridiculous.",1,2026-01-18T17:41:35-07:00,App Store
Need to get back in to my old one!,1,2026-01-18T17:39:40-07:00,App Store
This is my first social media and I feel it as one of intangible assets.,5,2026-01-18T17:36:15-07:00,App Store
Al querer ingresar datos de una nueva cuenta no deja ingresar a la misma si no que por facilidad envía a la misma personal la cual fue cerrada la sesión para poder ingresar a una nueva,1,2026-01-18T17:17:45-07:00,App Store
"If you want to see a bunch of ads and news while you’re trying to see what your friends are doing, this is the place",2,2026-01-18T17:14:15-07:00,App Store
